
Curso;Tema Macro;Dificultad;Tema Específico (ESP);Specific Topic (ENG);Descripción y relación con el Tema Macro;Función en R;Enlace 1;Enlace 2
AED;Análisis de componentes principales;3;UMAP: reducción de dimensión basada en topología;UMAP: Topology-Based Dimensionality Reduction;Alternativa más rápida y escalable al t-SNE que preserva tanto la estructura local como la global. Se ha convertido en el estándar moderno para visualización de datos de alta dimensión.;umap::umap;https://cran.r-project.org/web/packages/umap/vignettes/umap.html;https://umap-learn.readthedocs.io/en/latest/how_umap_works.html
AED;Análisis de componentes principales;4;Análisis de componentes principales funcionales (FPCA);Functional Principal Component Analysis (FPCA);Extiende el PCA a datos que son funciones o curvas continuas (ej. perfiles de temperatura diaria, curvas de crecimiento), representando cada observación como una función suavizada.;fda::pca.fd;https://cran.r-project.org/web/packages/fda/vignettes/FDA-Dbook.pdf;https://www.rdocumentation.org/packages/fda/versions/6.1.8/topics/pca.fd
AED;Análisis de componentes principales;4;Kernel PCA: extensión no lineal del PCA;Kernel PCA: Non-linear Extension of PCA;Proyecta los datos a un espacio de características de alta dimensión mediante una función kernel y aplica PCA en ese espacio, capturando estructuras no lineales que el PCA clásico no detecta.;kernlab::kpca;https://www.rdocumentation.org/packages/kernlab/versions/0.9-32/topics/kpca;https://cran.r-project.org/web/packages/kernlab/vignettes/kernlab.pdf
AED;Agrupamiento o Clustering;3;DBSCAN: clustering basado en densidad;DBSCAN: Density-Based Clustering;Agrupa observaciones en regiones densas del espacio, identificando automáticamente outliers y grupos de forma arbitraria sin necesitar k. Es especialmente útil cuando los grupos no son convexos.;dbscan::dbscan;https://cran.r-project.org/web/packages/dbscan/vignettes/dbscan.pdf;https://www.rdocumentation.org/packages/dbscan/versions/1.1-12/topics/dbscan
AED;Agrupamiento o Clustering;4;Clustering espectral;Spectral Clustering;Usa los vectores propios del laplaciano del grafo de similitud para agrupar datos con formas no convexas o no linealmente separables. Conecta el clustering con la teoría de grafos y los métodos de kernel.;kernlab::specc;https://www.rdocumentation.org/packages/kernlab/versions/0.9-32/topics/specc;https://towardsdatascience.com/spectral-clustering-aba2640c0d5b
AED;Agrupamiento o Clustering;4;Clustering de series de tiempo con DTW;Time Series Clustering with Dynamic Time Warping;Agrupa series de tiempo usando la distancia DTW (Dynamic Time Warping), que permite comparar series desfasadas o a diferente velocidad. Es el estándar en clustering de datos temporales como ventas, señales biomédicas o clima.;dtwclust::tsclust;https://cran.r-project.org/web/packages/dtwclust/vignettes/dtwclust.pdf;https://www.rdocumentation.org/packages/dtwclust/versions/5.5.12/topics/tsclust
AED;Agrupamiento o Clustering;3;Detección de comunidades en redes (clustering de grafos);Community Detection in Networks;Aplica algoritmos de clustering sobre grafos para detectar comunidades de nodos densamente conectados, como usuarios en redes sociales o genes en redes de interacción.;igraph::cluster_louvain / cluster_walktrap;https://igraph.org/r/doc/cluster_louvain.html;https://www.rdocumentation.org/packages/igraph/versions/2.0.3/topics/cluster_louvain
AED;Agrupamiento o Clustering;4;Clustering biclustering para datos de expresión génica;Biclustering for Gene Expression Data;Agrupa simultáneamente filas y columnas de una matriz (ej. genes y condiciones experimentales), identificando submatrices homogéneas. Muy usado en genómica y análisis de datos de alta dimensión.;biclust::biclust;https://cran.r-project.org/web/packages/biclust/vignettes/biclust.pdf;https://www.rdocumentation.org/packages/biclust/versions/2.0.3.1/topics/biclust
AED;Regresión lineal en múltiples variables;3;Selección de variables con penalización LASSO;Variable Selection with LASSO Penalization;Aplica regularización L1 que simultáneamente penaliza y anula coeficientes, realizando selección automática de variables. Extiende la regresión múltiple al escenario de muchas variables potencialmente redundantes.;glmnet::glmnet (alpha=1);https://glmnet.stanford.edu/articles/glmnet.html;https://www.statlearning.com/resources-first-edition
AED;Regresión lineal en múltiples variables;4;Regresión cuantílica;Quantile Regression;Modela cuantiles condicionales de la variable respuesta (no sólo la media), útil cuando el efecto de los predictores varía a lo largo de la distribución o cuando hay heterocedasticidad.;quantreg::rq;https://cran.r-project.org/web/packages/quantreg/vignettes/rq.pdf;https://www.rdocumentation.org/packages/quantreg/versions/5.98/topics/rq
AED;Regresión lineal en múltiples variables;3;Selección de modelos por criterios de información (AIC/BIC);Model Selection via Information Criteria (AIC/BIC);Compara modelos de regresión penalizando la complejidad mediante el criterio de Akaike y Bayesiano, encontrando el equilibrio entre ajuste y parsimonia sin necesidad de partición tren/prueba.;stats::AIC / MASS::stepAIC;https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/AIC;https://www.statmethods.net/stats/regression.html
AED;Regresión lineal en múltiples variables;4;Regresión Bayesiana con distribuciones a priori informativas;Bayesian Linear Regression with Informative Priors;Incorpora conocimiento previo sobre los coeficientes mediante distribuciones a priori, produciendo estimaciones posteriores que combinan datos y conocimiento experto. Contrasta la perspectiva bayesiana con la frecuentista.;brms::brm / rstanarm::stan_lm;https://paul-buerkner.github.io/brms/;https://cran.r-project.org/web/packages/rstanarm/vignettes/lm.html
AED;Regresión lineal en múltiples variables;3;Regresión con errores espacialmente correlacionados;Regression with Spatially Correlated Errors;Extiende la regresión clásica a datos georreferenciados donde los residuos presentan autocorrelación espacial, incorporando estructuras de covarianza que respetan la proximidad geográfica.;spdep::errorsarlm / spatialreg::errorsarlm;https://cran.r-project.org/web/packages/spdep/vignettes/sids.pdf;https://www.rdocumentation.org/packages/spatialreg/versions/1.3-1/topics/errorsarlm
AED;Análisis de varianza a una vía;3;MANOVA: análisis multivariado de varianza;MANOVA: Multivariate Analysis of Variance;Generaliza el ANOVA al caso con múltiples variables respuesta, evaluando si las medias vectoriales difieren entre grupos. Conecta el ANOVA con el análisis multivariado y el discriminante lineal.;stats::manova;https://www.statmethods.net/stats/manova.html;https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/manova
AED;Análisis de varianza a una vía;3;ANOVA de medidas repetidas;Repeated Measures ANOVA;Analiza diseños donde las mismas unidades son medidas en múltiples condiciones o tiempos, controlando la correlación intra-sujeto. Es la base para estudios longitudinales y diseños cruzados.;ez::ezANOVA / afex::aov_ez;https://cran.r-project.org/web/packages/ez/vignettes/ezANOVA.html;https://www.rdocumentation.org/packages/afex/versions/1.3-1/topics/aov_ez
AED;Análisis de varianza a una vía;3;Prueba de Welch y Brown-Forsythe para grupos heterocedásticos;Welch and Brown-Forsythe Tests for Heteroscedastic Groups;Variantes del ANOVA que no asumen igualdad de varianzas entre grupos, robustas a la heterocedasticidad que viola el supuesto clásico. Son la primera corrección a aplicar cuando Levene rechaza homogeneidad.;stats::oneway.test (var.equal=FALSE);https://www.rdocumentation.org/packages/stats/versions/3.6.2/topics/oneway.test;https://statsandr.com/blog/anova-in-r/
AED;Análisis de varianza a una vía;4;Modelos lineales mixtos como generalización del ANOVA;Linear Mixed Models as a Generalization of ANOVA;Reformula el ANOVA como caso especial de los modelos de efectos mixtos, permitiendo diseños desbalanceados, covariables y estructuras de correlación complejas que el ANOVA clásico no maneja.;lme4::lmer / nlme::lme;https://cran.r-project.org/web/packages/lme4/vignettes/lmer.pdf;https://m-clark.github.io/mixed-models-with-R/
AED;Análisis de varianza a una vía;3;Tamaño del efecto: eta-cuadrado y omega-cuadrado;Effect Size: Eta-Squared and Omega-Squared;Cuantifica la magnitud práctica del efecto encontrado en el ANOVA, complementando el valor-p con una medida que no depende del tamaño de muestra. Fundamental para comunicar resultados en investigación aplicada.;effectsize::eta_squared / omega_squared;https://cran.r-project.org/web/packages/effectsize/vignettes/effectsize.html;https://www.rdocumentation.org/packages/effectsize/versions/0.8.6/topics/eta_squared
